Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: X89, MSE: 0.0011054253512030785, Jaccard: 0.9931072092949247
Attribute: X90, MSE: 0.012392918741772984, Jaccard: 0.9936172937144578
Attribute: X91, MSE: 0.0025987878254726793, Jaccard: 0.9935017940765067
Attribute: X92, MSE: 0.0018206362883250826, Jaccard: 0.997091048854584
Attribute: X93, MSE: 0.0, Jaccard: 0.0
Attribute: X94, MSE: 0.012479442003486817, Jaccard: 0.9935977507350889
Attribute: X95, MSE: 0.00033936620433041355, Jaccard: 0.9930817993417043
Attribute: X96, MSE: 0.38685829554785434, Jaccard: 0.9932824117144861
Attribute: X97, MSE: 0.007522019046534757, Jaccard: 0.993105761022943
Attribute: X98, MSE: 0.09046226588603937, Jaccard: 0.9936525058733741
Attribute: X99, MSE: 0.014010657738329938, Jaccard: 0.9943921568627451
Attribute: X100, MSE: 0.38657045374994653, Jaccard: 0.9942649724752924
Attribute: X101, MSE: 0.10222250510051321, Jaccard: 0.9945399849109522
Attribute: X102, MSE: 0.010432445181392844, Jaccard: 0.9942354576642503
Attribute: X103, MSE: 0.28086706159943536, Jaccard: 0.993935570343253
Attribute: X104, MSE: 0.003480036734201657, Jaccard: 0.9966216216216216
Attribute: X105, MSE: 0.004151544841560344, Jaccard: 0.9939023316828047
Attribute: X106, MSE: 0.02425762583238528, Jaccard: 0.9937849178241492
Attribute: X107, MSE: 0.0, Jaccard: 0.0
Attribute: X108, MSE: 0.027028588520495292, Jaccard: 0.9942602458605453
Attribute: X109, MSE: 0.08020284651039915, Jaccard: 0.9971218446174976
Attribute: X110, MSE: 0.0014592339762904848, Jaccard: 0.9930380524090502
Attribute: X111, MSE: 0.05392570307137714, Jaccard: 0.9971807743455696
Attribute: X112, MSE: 0.005170644545016385, Jaccard: 0.9966666666666667
Attribute: X113, MSE: 0.04916602601812028, Jaccard: 0.9946887741512488
Attribute: X114, MSE: 0.2164744854494576, Jaccard: 0.994111351773559
Attribute: X115, MSE: 0.3695134250025646, Jaccard: 0.9942479183981618
Attribute: X116, MSE: 0.3519817682751123, Jaccard: 0.9947563313565327
Attribute: X117, MSE: 0.07776762991230843, Jaccard: 0.9941061594688068
Attribute: X118, MSE: 0.4148515397501165, Jaccard: 0.9945923840830382
Attribute: X119, MSE: 0.4867386254190065, Jaccard: 0.9941788191541668
Attribute: X120, MSE: 0.07805308980813347, Jaccard: 0.9947182465012563
Attribute: X122, MSE: 0.012837294816378754, Jaccard: 0.9967666606790012
Attribute: X123, MSE: 0.0051848342742951276, Jaccard: 0.9972698140784471
Attribute: X124, MSE: 0.0008416740606570661, Jaccard: 0.9937828633200743
Attribute: X125, MSE: 0.006478729218379881, Jaccard: 0.9948137312390706
Attribute: X126, MSE: 0.06484314367612524, Jaccard: 0.994158434803933
Attribute: X127, MSE: 0.5043164240857502, Jaccard: 0.9943993217085831
Attribute: X128, MSE: 0.08104829174718381, Jaccard: 0.994171989303528
Attribute: X129, MSE: 0.19075325807117985, Jaccard: 0.9942211323395227
Attribute: X130, MSE: 0.09494346099242959, Jaccard: 0.9948238314482316
Attribute: X131, MSE: 0.05950403432768574, Jaccard: 0.9947432207735281
Attribute: X132, MSE: 0.43548817964172826, Jaccard: 0.9946807254245273
Attribute: X133, MSE: 0.24517814133746568, Jaccard: 0.9973906999223455
Attribute: X134, MSE: 0.03655971646044823, Jaccard: 0.9945631624053092
Attribute: X135, MSE: 0.061764220033017854, Jaccard: 0.9976349661163415
Attribute: X136, MSE: 0.08241001808601588, Jaccard: 0.9942156908203912
Attribute: X137, MSE: 0.4662582728859026, Jaccard: 0.9949608866793817
Attribute: X138, MSE: 0.07917114257652993, Jaccard: 0.9947395209180415
Attribute: X139, MSE: 0.19397268490185332, Jaccard: 0.9976295726824268
Attribute: X140, MSE: 0.07399890357822156, Jaccard: 0.994691406656796
Attribute: X141, MSE: 0.031512434544120824, Jaccard: 0.9950209054424379
Attribute: X142, MSE: 0.36044068564419307, Jaccard: 0.9947902301011766
Attribute: X143, MSE: 0.08317710919241465, Jaccard: 0.9975863752237348
Attribute: X144, MSE: 0.3063227810330636, Jaccard: 0.995023017561428
Attribute: X145, MSE: 0.002940005742384011, Jaccard: 0.9941610538827258
Attribute: X146, MSE: 0.08052441222871662, Jaccard: 0.9950255178367776
Attribute: X147, MSE: 0.05233927537541459, Jaccard: 0.9950010372487553
Attribute: X148, MSE: 0.10283379521208824, Jaccard: 0.994720184185247
Attribute: X150, MSE: 0.30831909538855995, Jaccard: 0.994649853299519
Attribute: X151, MSE: 0.15111286553941813, Jaccard: 0.99505394736211
Attribute: X152, MSE: 0.06059558560437846, Jaccard: 0.9975715056664868
Attribute: X153, MSE: 0.0018524026769672452, Jaccard: 0.9976455827400922
Attribute: X154, MSE: 0.42179556112100747, Jaccard: 0.9953048158321872
Attribute: X155, MSE: 0.1535559531220201, Jaccard: 0.995348844356782
Attribute: X156, MSE: 0.5191817765560758, Jaccard: 0.9950667973798518
Attribute: X157, MSE: 0.38948819204045665, Jaccard: 0.995194889636839
Attribute: X158, MSE: 0.3693536733459494, Jaccard: 0.9950283572761814
Attribute: X159, MSE: 0.03246223243041104, Jaccard: 0.9952724869485836
Attribute: X160, MSE: 0.003293601522002182, Jaccard: 0.9953523328523328
Attribute: X161, MSE: 0.3707869956706614, Jaccard: 0.9957901920048666
Attribute: X162, MSE: 0.07701615160524887, Jaccard: 0.995398362196617
Attribute: X163, MSE: 0.4598945630171248, Jaccard: 0.9946032245620148
Attribute: X164, MSE: 0.13651891593545695, Jaccard: 0.9978326002422387
Attribute: X165, MSE: 0.010935480834545291, Jaccard: 0.9954062537727877
Attribute: X166, MSE: 0.0679899228190274, Jaccard: 0.9978239845261122
Attribute: X167, MSE: 0.0020546217086846335, Jaccard: 0.9949521621787998
Attribute: X168, MSE: 0.396652414825339, Jaccard: 0.995779586327684
Attribute: X169, MSE: 0.015157209204083777, Jaccard: 0.995736473802179
Attribute: X170, MSE: 0.05923966993118369, Jaccard: 0.9952859974683655
Attribute: X171, MSE: 0.5319966829352255, Jaccard: 0.9953462493617163
Attribute: X172, MSE: 0.013146249327665728, Jaccard: 0.9952982166687872
Attribute: X173, MSE: 0.02453694842758285, Jaccard: 0.9953724430205285
Attribute: X174, MSE: 0.04046820954323928, Jaccard: 0.995485004195849
Attribute: X175, MSE: 0.054231032078383624, Jaccard: 0.9953021788171715
Attribute: X176, MSE: 0.0365191858239951, Jaccard: 0.9953082068073181
Attribute: X177, MSE: 0.12956903241798765, Jaccard: 0.9955593796676977
Attribute: X178, MSE: 0.5572868438263971, Jaccard: 0.9955480761239923
Attribute: X179, MSE: 0.10516662424236123, Jaccard: 0.9956292601432238
Attribute: X180, MSE: 0.30780966276534155, Jaccard: 0.9952085350510312
Attribute: X181, MSE: 0.22235673251310628, Jaccard: 0.9958737089517287
Attribute: X182, MSE: 0.22937401799300064, Jaccard: 0.9977572189514998
Attribute: X183, MSE: 0.008433213684675794, Jaccard: 0.995969495526839
Attribute: X184, MSE: 0.0034606096402301076, Jaccard: 0.9973474801061007
Attribute: X185, MSE: 0.050099521407957474, Jaccard: 0.9958825645985044
Attribute: X186, MSE: 0.6051121816265767, Jaccard: 0.9956862783470216
Attribute: X187, MSE: 0.5851723021816776, Jaccard: 0.9956375558397961
Attribute: X189, MSE: 0.20125299969667287, Jaccard: 0.9977795945881319
Attribute: X190, MSE: 0.0005434601983433972, Jaccard: 0.9953604090903647
Attribute: X191, MSE: 0.6074988713943889, Jaccard: 0.9958562084236923
Attribute: X192, MSE: 0.006221939394137696, Jaccard: 0.9957184085755514
Attribute: X194, MSE: 0.7189820079533807, Jaccard: 0.9958816134680333
Attribute: X195, MSE: 0.03141320782188822, Jaccard: 0.9960271844660195
