Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: 782, MSE: 0.010854854819862156, Jaccard: 0.3138075313807531
Attribute: 786, MSE: 0.013242608480296979, Jaccard: 0.3229813664596274
Attribute: 790, MSE: 0.015659988775147755, Jaccard: 0.3630705394190872
Attribute: 794, MSE: 0.016786228856978447, Jaccard: 0.47665369649805445
Attribute: 798, MSE: 0.019051333220946848, Jaccard: 0.47206165703275527
Attribute: 802, MSE: 0.018669060513254444, Jaccard: 0.37067209775967414
Attribute: 806, MSE: 0.011673501474557745, Jaccard: 0.3556910569105691
Attribute: 810, MSE: 0.008782032119592118, Jaccard: 0.32851239669421484
Attribute: 814, MSE: 0.02960551687813839, Jaccard: 0.45755693581780543
Attribute: 818, MSE: 0.021053903221976526, Jaccard: 0.48461538461538467
Attribute: 822, MSE: 0.014540442839446574, Jaccard: 0.4357976653696498
Attribute: 826, MSE: 0.018065029552140437, Jaccard: 0.4496124031007752
Attribute: 830, MSE: 0.005941205140023568, Jaccard: 0.382
Attribute: 834, MSE: 0.019698062521593555, Jaccard: 0.4405458089668616
Attribute: 838, MSE: 0.020655124318679812, Jaccard: 0.38008130081300817
Attribute: 842, MSE: 0.015595920809754419, Jaccard: 0.38645418326693226
Attribute: 846, MSE: 0.013053368540935337, Jaccard: 0.39839034205231383
Attribute: 850, MSE: 0.01566790880668675, Jaccard: 0.3858585858585859
Attribute: 854, MSE: 0.014862880978002166, Jaccard: 0.35306122448979593
Attribute: 858, MSE: 0.014645068658211902, Jaccard: 0.40792079207920795
Attribute: 862, MSE: 0.017248430645620563, Jaccard: 0.390495867768595
Attribute: 866, MSE: 0.011219311155082562, Jaccard: 0.41633466135458164
Attribute: 870, MSE: 0.01371034533151182, Jaccard: 0.38181818181818183
Attribute: 874, MSE: 0.015433302595806084, Jaccard: 0.43052837573385516
Attribute: 878, MSE: 0.013393693037007246, Jaccard: 0.41035856573705176
Attribute: 882, MSE: 0.02618443257875796, Jaccard: 0.5263157894736843
Attribute: 886, MSE: 0.01322057092081541, Jaccard: 0.3619631901840491
Attribute: 890, MSE: 0.014203844536683526, Jaccard: 0.3747412008281573
Attribute: 894, MSE: 0.008156952070999885, Jaccard: 0.298728813559322
Attribute: 898, MSE: 0.01534788870233321, Jaccard: 0.3846153846153846
Attribute: 902, MSE: 0.020587826987608554, Jaccard: 0.3506224066390041
Attribute: 906, MSE: 0.025346334753621563, Jaccard: 0.5065913370998116
Attribute: 910, MSE: 0.01701085570374251, Jaccard: 0.3628865979381444
Attribute: 914, MSE: 0.01770894823501029, Jaccard: 0.49527410207939504
